,CIC17→CIC17,CIC17→CIC18_FRIDAY-1,CIC17→CIC18_FRIDAY-2,CIC17→CIC18_FRIDAY-3,CIC17→CIC18_THURSDAY-1,CIC17→CIC18_THURSDAY-2,CIC17→CIC18_THURSDAY-3,CIC17→CIC18_TUESDAY,CIC17→CIC18_WEDNESDAY-1,CIC17→CIC18_WEDNESDAY-2,CIC17→CIC18_WEDNESDAY-3,Global Avg Rank,Global Std
Bwd Packet Length Min,2.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.8181818181818181,0.873862897505303
Flow Duration,11.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.272727272727273,2.6491851234260353
Fwd URG Flags,12.0,5.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,8.0,6.0,4.181818181818182,3.7367949319753104
Bwd Packet Length Max,1.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,2.0,7.0,4.454545454545454,1.694912172570388
Average Packet Size,6.0,2.0,4.0,5.0,4.0,4.0,9.0,4.0,4.0,3.0,9.0,4.909090909090909,2.256304299271065
Packet Length Mean,3.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,5.0,3.0,5.181818181818182,1.4709304414677
Subflow Bwd Packets,5.0,12.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,11.0,8.0,8.181818181818182,1.8877596148970779
Total Backward Packets,7.0,13.0,7.0,8.0,7.0,8.0,5.0,7.0,7.0,18.0,5.0,8.363636363636363,3.8281255797773213
Max Packet Length,8.0,17.0,9.0,9.0,9.0,10.0,4.0,10.0,9.0,17.0,4.0,9.636363636363637,4.201731244921009
ECE Flag Count,4.0,9.0,11.0,11.0,12.0,11.0,11.0,11.0,10.0,7.0,11.0,9.818181818181818,2.35873617932069
Fwd IAT Total,15.0,10.0,12.0,10.0,11.0,12.0,13.0,12.0,12.0,16.0,14.0,12.454545454545455,1.916436086262016
Bwd Header Length,14.0,11.0,10.0,13.0,10.0,9.0,19.0,9.0,11.0,14.0,19.0,12.636363636363637,3.6131074512869743
Bwd Avg Bulk Rate,17.0,6.0,17.0,14.0,18.0,16.0,10.0,18.0,16.0,6.0,10.0,13.454545454545455,4.6338674207110495
Fwd Packet Length Mean,9.0,14.0,16.0,12.0,14.0,18.0,16.0,14.0,13.0,9.0,16.0,13.727272727272727,2.8667371379639635
Init_Win_bytes_backward,19.0,8.0,14.0,15.0,15.0,15.0,15.0,13.0,17.0,10.0,15.0,14.181818181818182,3.027149874657078
Flow IAT Mean,18.0,15.0,18.0,16.0,17.0,17.0,14.0,15.0,14.0,13.0,13.0,15.454545454545455,1.8635254955935734
Bwd Packets/s,10.0,16.0,19.0,17.0,16.0,19.0,12.0,17.0,15.0,20.0,12.0,15.727272727272727,3.2277208395680406
Fwd IAT Mean,13.0,20.0,13.0,18.0,13.0,13.0,17.0,16.0,18.0,15.0,18.0,15.818181818181818,2.56195947736032
Idle Max,20.0,18.0,15.0,19.0,19.0,14.0,18.0,19.0,19.0,19.0,17.0,17.90909090909091,1.8683974659876552
Bwd URG Flags,16.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,12.0,20.0,18.818181818181817,2.56195947736032
